candidate,state,year,wiki_title
Mark V. Ronchetti,NEW MEXICO,2020,2026_United_States_Senate_election_in_New_Mexico
Marquita Bradshaw,TENNESSEE,2020,Marquita_Bradshaw
Marsha Blackburn,TENNESSEE,2018,Marsha_Blackburn
Martha Mcsally,ARIZONA,2018,Martha_McSally
Martin T Heinrich,NEW MEXICO,2018,Martin_Heinrich
"Mary \Mj\"" Hegar""",TEXAS,2020,M._J._Hegar
Matt Rosendale,MONTANA,2018,Matt_Rosendale
Matthew Corey,CONNECTICUT,2018,2024_United_States_Senate_election_in_Connecticut
Mazie K. Hirono,HAWAII,2018,Mazie_Hirono
Michael F. Bennet,COLORADO,2016,Michael_Bennet
Mick Rich,NEW MEXICO,2018,2018_United_States_Senate_election_in_New_Mexico
Mike Braun,INDIANA,2018,Mike_Braun
Mike Crapo,IDAHO,2016,Mike_Crapo
Mike Espy,MISSISSIPPI,2020,Mike_Espy
Mike Lee,UTAH,2016,Mike_Lee
Mike Rounds,SOUTH DAKOTA,2020,Mike_Rounds
Mike Workman,OKLAHOMA,2016,2016_United_States_Senate_election_in_Oklahoma
Misty K. Snow,UTAH,2016,Misty_Snow
Mitch Mcconnell,KENTUCKY,2020,Mitch_McConnell
Mitt Romney,UTAH,2018,Mitt_Romney
Patrick J. Leahy,VERMONT,2016,Patrick_Leahy
Patrick J. Toomey,PENNSYLVANIA,2016,Pat_Toomey
Patrick Morrisey,WEST VIRGINIA,2018,Patrick_Morrisey
Patrick Murphy,FLORIDA,2016,Patrick_Murphy_(Florida_politician)
Patrick Wiesner,KANSAS,2016,2016_United_States_Senate_election_in_Kansas
Patty Judge,IOWA,2016,2016_United_States_Senate_election_in_Iowa
Patty Murray,WASHINGTON,2016,Patty_Murray
Paula Jean Swearengin,WEST VIRGINIA,2020,Paula_Jean_Swearengin
Paulette Jordan,IDAHO,2020,Paulette_Jordan
Phil Bredesen,TENNESSEE,2018,Phil_Bredesen
Rand Paul,KENTUCKY,2016,Rand_Paul
Ray Metcalfe,ALASKA,2016,Ray_Metcalfe
Richard Blumenthal,CONNECTICUT,2016,Richard_Blumenthal
Richard Burr,NORTH CAROLINA,2016,Richard_Burr
Richard C. Shelby,ALABAMA,2016,Richard_Shelby
Richard J. Durbin,ILLINOIS,2020,Dick_Durbin
Rick Scott,FLORIDA,2018,Rick_Scott
"Rikin \Rik\"" Mehta""",NEW JERSEY,2020,Rik_Mehta
Rob Portman,OHIO,2016,Rob_Portman
Robert B Arlett,DELAWARE,2018,
"Robert G. Flanders, Jr.",RHODE ISLAND,2018,
Robert Menendez,NEW JERSEY,2018,Bob_Menendez
Robert P Casey Jr,PENNSYLVANIA,2018,Bob_Casey_Jr.
Roger F. Wicker,MISSISSIPPI,2018,Roger_Wicker
Roger Marshall,KANSAS,2020,Roger_Marshall
Ron Crumpton,ALABAMA,2016,
Ron Curtis,HAWAII,2018,John_Walsh_(Montana_politician)
Ron Johnson,WISCONSIN,2016,Ron_Johnson
Ron Wyden,OREGON,2016,Ron_Wyden
Roy Blunt,MISSOURI,2016,Roy_Blunt
Russ Feingold,WISCONSIN,2016,Russ_Feingold
Sara I. Gideon,MAINE,2020,Sara_Gideon
Scott Milne,VERMONT,2016,Scott_Milne
Sheldon Whitehouse,RHODE ISLAND,2018,Sheldon_Whitehouse
Shelley Moore Capito,WEST VIRGINIA,2020,Shelley_Moore_Capito
Sherrod Brown,OHIO,2018,Sherrod_Brown
Steve Bullock,MONTANA,2020,Steve_Bullock_(American_politician)
Steve Daines,MONTANA,2020,Steve_Daines
Susan Hutchison,WASHINGTON,2018,Susan_Hutchison
Susan Margaret Collins,MAINE,2020,Susan_Collins
Tammy Baldwin,WISCONSIN,2018,Tammy_Baldwin
Tammy Duckworth,ILLINOIS,2016,Tammy_Duckworth
Ted Cruz,TEXAS,2018,Ted_Cruz
Ted Strickland,OHIO,2016,Ted_Strickland
Theresa Greenfield,IOWA,2020,Theresa_Greenfield
Thom Tillis,NORTH CAROLINA,2020,Thom_Tillis
Thomas Dixon,SOUTH CAROLINA,2016,Senator_Dixon
Thomas R Carper,DELAWARE,2018,Tom_Carper
Tim Scott,SOUTH CAROLINA,2016,Tim_Scott
Timothy M. Kaine,VIRGINIA,2018,Tim_Kaine
Tina Smith,MINNESOTA,2020,Tina_Smith
Todd C. Young,INDIANA,2016,Todd_Young
Tommy Tuberville,ALABAMA,2020,Tommy_Tuberville
Tony Campbell,MARYLAND,2018,
Wendy Long,NEW YORK,2016,
Zak Ringelstein,MAINE,2018,
"\Bill\"" Cassidy""",LOUISIANA,2020,Bill_Cassidy
